번호,자재ID,자재명,대분류,중분류,단위,규격,가격,색상,재고,공급업체,지점,메모
,,카네이션 돈셀,생화,카네이션류,,,13000,,5,꽃동산-양재,,
,,카네이션 레드,생화,카네이션류,,,4500,레드,200,플라워팜,,
,,카네이션 문라이트,생화,카네이션류,,,12500,,1,,,
,,카네이션 버건디,생화,카네이션류,,,13000,,1,,,
,,카네이션 보라,생화,카네이션류,,,15000,퍼플,1,꽃동산,,
,,카네이션 블루,생화,카네이션류,,,15000,블루,4,꽃동산-양재,,
,,카네이션 연핑크 SP,생화,카네이션류,,,10500,핑크,1,,,
,,카네이션 염색 인디,생화,카네이션류,,,15500,,1,,,
,,카네이션 크림,생화,카네이션류,,,13000,흰색,4,꽃동산-양재,,
,,카네이션-옐로우,생화,카네이션류,,,13000,옐로우,2,꽃동산-양재,,
,,카네이션 마리포사,생화,카네이션류,,,13000,,1,꽃동산-양재,,
,,카네이션 오렌지,생화,카네이션류,,,13000,,1,꽃동산-양재,,
,,,,,,,,,,,,
,,리시안 라벤더,생화,리시안서스류,,,8000,퍼플,1,,,
,,리시안서스 보야주화이트,생화,리시안서스류,,,11500,흰색,1,,,
,,리시안서스 샴페인,생화,리시안서스류,,,16500,,1,,,
,,리시안서스 셀렙 피리티핑크,생화,리시안서스류,,,17000,핑크,2,루시플라워-양재,,
,,리시안서스 졸리핑크,생화,리시안서스류,,,7000,핑크,1,,,
,,리시안서스 코레리라이트핑크,생화,리시안서스류,,,14000,핑크,1,,,
,,리시안서스 크로마화이트,생화,리시안서스류,,,18720,흰색,7,월드플로라,,
,,리시안서스 퓨어화이트,생화,리시안서스류,,,15500,흰색,1,,,
,,리시안서스-화이트,생화,리시안서스류,,,13000,흰색,1,흰색,,
,,리시안셔스 그레이프 라벤더,생화,리시안서스류,,,18500,퍼플,1,,,
,,광택제,소모품 및 부자재,원예자재,,,15000,,3,,,
,,그린킬,소모품 및 부자재,원예자재,,,2000,그린,10,,,
,,난석 대,소모품 및 부자재,원예자재,,,6600,기타,7,제이앤데코,,
,,라바스톤 3-5,소모품 및 부자재,원예자재,,,14000,기타,1,유선농원,,
,,라바스톤 5-7,소모품 및 부자재,원예자재,,,14000,,1,,,
,,마사토 중립,소모품 및 부자재,원예자재,,,5000,,1,,,
,,바크,소모품 및 부자재,원예자재,,,6500,,1,,,
,,세척마사 중립,소모품 및 부자재,원예자재,,,7700,,3,,,
,,오색돌,소모품 및 부자재,원예자재,,,10000,기타,1,유선농원,,
,,오아시스 프리미엄,소모품 및 부자재,원예자재,,,17000,,1,,,
,,분갈이흙 진기토,소모품 및 부자재,원예자재,,,5250,,1,,,
,,플로라라이프5ml,소모품 및 부자재,원예자재,,,16500,,1,,,
,,하이퍼영양제,소모품 및 부자재,원예자재,,,4000,,10,,,
,,화산석 5-10,소모품 및 부자재,원예자재,,,9000,,1,,,
,,화산석1cm,소모품 및 부자재,원예자재,,,9000,,1,,,
,,일반마사 중립,소모품 및 부자재,원예자재,,,5000,,1,유선농원,,
,,분갈이 흙 신기토 대,소모품 및 부자재,원예자재,,,5000,,2,제이앤데코,,
,,ok 분갈이흙,소무품 및 부자재,원예자재,,,4950,,1,유선농원-헌인,,
,,눈사람인형,소모품 및 부자재,데코자재,,,3170,,30,,,
,,눈사람픽,소모품 및 부자재,데코자재,,,3000,기타,4,마티아,,
,,루돌프픽,소모품 및 부자재,데코자재,,,3900,,12,,,
,,산타픽,소모품 및 부자재,데코자재,,,2880,기타,16,마티아,,
,,스케이팅 산타픽,소모품 및 부자재,데코자재,,,3200,,6,,,
,,우드스텀프 대,소모품 및 부자재,데코자재,,,4730,,9,,,
,,우드스텀프 소,소모품 및 부자재,데코자재,,,3850,,30,,,
,,우드스텀프 특대,소모품 및 부자재,데코자재,,,6050,기타,10,현대데코,,
,,우드슬라이스 3사이즈,소모품 및 부자재,데코자재,,,4400,,6,,,
,,진주가란드,소모품 및 부자재,데코자재,,,6600,기타,6,마티아,,
,,철제 메세지픽,소모품 및 부자재,데코자재,,,1310,,10,,,
,,칼라스프레이-아이스블루,소모품 및 부자재,데코자재,,,6050,블루,1,,,
,,하트꼬지,소모품 및 부자재,데코자재,,,1200,기타,3,헌인자재,,
,,한겹보자기,소모품 및 부자재,데코자재,,,2750,,3,,,
,,물주머니용 위생백 소,소모품 및 부자재,포장재,,,2000,,1,,,
,,미니털모자,소모품 및 부자재,포장재,,,2000,,1,,,
,,포장지 부직롤 화이트,소모품 및 부자재,포장재,,,3300,,8,,,
,,포장지 부직롤 레드,소모품 및 부자재,포장재,,,3300,,8,,,
,,철사 부케와이어 18,소모품 및 부자재,포장재,,,5500,,1,,,
,,철사 부케와이어 20,소모품 및 부자재,포장재,,,,,,,,
,,철사 부케와이어 22,소모품 및 부자재,포장재,,,,,,,,
,,철사 부케와이어 24,소모품 및 부자재,포장재,,,,,,,,
,,철사 부케와이어 26,소모품 및 부자재,포장재,,,,,,,,
,,철사 그린 빵끈,소모품 및 부자재,포장재,,,,,,,,
,,철사 갈색 빵끈,소모품 및 부자재,포장재,,,,,,,,
,,철사 골드 빵끈,소모품 및 부자재,포장재,,,,,,,,
,,철사 지철사 그린,소모품 및 부자재,포장재,,,5500,,1,,,
,,철사 지철사 화이트,소모품 및 부자재,포장재,,,,,,,,
,,철사 지철사 갈색,소모품 및 부자재,포장재,,,,,,,,
,,테이프 플로럴테이프 그린,소모품 및 부자재,포장재,,,,,,,,
,,테이프 플로럴테이프 화이트,소모품 및 부자재,포장재,,,,,,,,
,,테이프 플로럴테이프 갈색,소모품 및 부자재,포장재,,,,,,,,
,,포장지 색화지,소모품 및 부자재,포장재,,,12100,,2,,,
,,포장지 프랜즈 화이트,소모품 및 부자재,포장재,,,4500,,3,,,
,,포장지 플로드1 1 연핑크,소모품 및 부자재,포장재,,,4500,,3,,,
,,포장지 플로드1 3 계란색,소모품 및 부자재,포장재,,,4500,,3,,,
,,포장지 플로드1 4 흰색,소모품 및 부자재,포장재,,,4500,화이트,3,,,
,,포장지 플로드1 6 연보라,소모품 및 부자재,포장재,,,4500,,3,,,
,,포장지 플로드1 11 그린,소모품 및 부자재,포장재,,,4500,,3,,,
,,포장지 플로드1 14 레드,소모품 및 부자재,포장재,,,4500,,3,,,
,,포장지 플로드1 18 연하늘,소모품 및 부자재,포장재,,,4500,,3,,,
,,포장지 플로드1 19 진하늘,소모품 및 부자재,포장재,,,4500,,3,,,
,,포장지 플로드1 28 반투명,소모품 및 부자재,포장재,,,4500,,3,,,
,,포장지 플로드1 34 블랙,소모품 및 부자재,포장재,,,4500,,3,,,
,,포장지 플로드1 35 핑크,소모품 및 부자재,포장재,,,4500,,3,,,
,,포장지 플로드1 40 청색,소모품 및 부자재,포장재,,,4500,,3,,,
,,포장지 플로드1 45 쿨그레이,소모품 및 부자재,포장재,,,4500,,3,,,
,,포장지 플로드1 46 웜그레이,소모품 및 부자재,포장재,,,4500,,3,,,
,,포장지 플로드1 48 피치,소모품 및 부자재,포장재,,,4500,,3,,,
,,포장지 플러드 2 1 연핑크,소모품 및 부자재,포장재,,,4950,,5,,,
,,포장지 플러드 2 4 화이트,소모품 및 부자재,포장재,,,4950,,5,,,
,,포장지 플러드 2 6 바이올렛,소모품 및 부자재,포장재,,,4950,,5,,,
,,포장지 플러드 2 7 올리브,소모품 및 부자재,포장재,,,4950,,5,,,
,,포장지 플러드 2 10 하늘색,소모품 및 부자재,포장재,,,4950,,5,,,
,,포장지 플러드 2 18 블랙,소모품 및 부자재,포장재,,,4950,,5,,,
,,포장지 플러드 2 23 피치,소모품 및 부자재,포장재,,,4950,,5,,,
,,포장지 플러드 2 29 핑크,소모품 및 부자재,포장재,,,4950,,5,,,
,,포장지 플러드 2 30 노랑,소모품 및 부자재,포장재,,,4950,,5,,,
,,포장지 플러드 2 42 연핑크,소모품 및 부자재,포장재,,,4950,,5,,,
,,포장지 플러드 2 52 오렌지,소모품 및 부자재,포장재,,,4950,,5,,,
,,포장지 플러드 2 54 녹색,소모품 및 부자재,포장재,,,4950,,5,,,
,,포장지 플러드 2 55 연보라,소모품 및 부자재,포장재,,,4950,,5,,,
,,포장지 플러드 2 57 크림,소모품 및 부자재,포장재,,,4950,,5,,,
,,포장지 플러드 2 59 노랑,소모품 및 부자재,포장재,,,4950,,5,,,
,,포장지 플러드 더블,소모품 및 부자재,포장재,,,6500,기타,6,헌인자재-헌인,,
,,포장지 피오레,소모품 및 부자재,포장재,,,4500,,1,,,
,,OPP더블58CM,소모품 및 부자재,포장재,,,14000,,2,,,
,,opp라지,소모품 및 부자재,포장재,,,10500,기타,1,헌인자재,,
,,OPP롤 58cm,소모품 및 부자재,포장재,,,0,,0,,,
,,OPP롤 더블 58cm,소모품 및 부자재,포장재,,,0,,0,,,
,,쇼핑백 투명창 w5쇼핑백,소모품 및 부자재,포장재,,,715,기타,20,헌인자재,,
,,쇼핑백 크라프트 삼각화분백 소(180*100*200),소모품 및 부자재,포장재,,,460,,50,명성쇼핑백,,
,,쇼핑백 크라프트 삼각화분백 중(230*110*260),소모품 및 부자재,포장재,,,600,,50,명성쇼핑백,,
,,쇼핑백 검정플라워백 소 (200*200*220),소모품 및 부자재,포장재,,,700,,,명성쇼핑백,,
,,쇼핑백 검정플라워백 중 (250*250*270),소모품 및 부자재,포장재,,,760,,100,명성쇼핑백,,
,,쇼핑백 검정플라워백 대 (300*230*300),소모품 및 부자재,포장재,,,860,,100,명성쇼핑백,,
,,쇼핑백 검정플라워백 왕특대 350*350*370),소모품 및 부자재,포장재,,,1360,,,명성쇼핑백,,
,,리본 로고리본 1cm,소모품 및 부자재,리본/텍,,,,,,,,
,,리본 로고리본 1.5cm,소모품 및 부자재,리본/텍,,,,,,,,
,,리본 로고리본 2.5cm,소모품 및 부자재,리본/텍,,,,,,,,
,,리본 샤무드 화이트,소모품 및 부자재,리본/텍,,,6050,,4,,,
,,리본 샤무드 핑크,소모품 및 부자재,리본/텍,,,6050,,4,,,
,,리본 샤무드 피치,소모품 및 부자재,리본/텍,,,6050,,4,,,
,,리본 샤무드 하늘색,소모품 및 부자재,리본/텍,,,6050,,4,,,
,,리본 컬링 핑크,소모품 및 부자재,리본/텍,,,,,,,,
,,리본 컬링 피치,소모품 및 부자재,리본/텍,,,,,,,,
,,리본 컬링 옐로우,소모품 및 부자재,리본/텍,,,,,,,,
,,리본 컬링 연보라,소모품 및 부자재,리본/텍,,,,,,,,
,,리본 컬링 하늘,소모품 및 부자재,리본/텍,,,,,,,,
,,리본 벨벳 1cm  레드,소모품 및 부자재,리본/텍,,,,,,,,
,,리본 벨벳 1cm  그린,소모품 및 부자재,리본/텍,,,,,,,,
,,리본 주자 1cm 연보라,소모품 및 부자재,리본/텍,,,,,,,,
,,리본 주자 1cm 크림,소모품 및 부자재,리본/텍,,,,,,,,
,,리본 주자 1cm 블루,소모품 및 부자재,리본/텍,,,,,,,,
,,리본 주자 1.5cm 연핑크,소모품 및 부자재,리본/텍,,,3300,,,,,
,,리본 주자 1.5cm 연보라,소모품 및 부자재,리본/텍,,,3300,,,,,
,,리본 주자 1.5cm 하늘,소모품 및 부자재,리본/텍,,,3300,,,,,
,,리본 주자 1.5cm 블루,소모품 및 부자재,리본/텍,,,3300,,,,,
,,리본 주자 1.5cm 골드,소모품 및 부자재,리본/텍,,,3300,,,,,
,,리본 주자 2.5cm 연핑크 ,소모품 및 부자재,리본/텍,,,3500,,,,,
,,리본 주자 2.5cm 하늘,소모품 및 부자재,리본/텍,,,3500,,,,,
,,리본 주자 2.5cm 피치,소모품 및 부자재,리본/텍,,,3500,,,,,
,,리본 주자 2.5cm 레드,소모품 및 부자재,리본/텍,,,3500,,,,,
,,리본 주자 2.5cm 크림,소모품 및 부자재,리본/텍,,,3500,,,,,
,,리본 주자 2.5cm 연핑크 ,소모품 및 부자재,리본/텍,,,3500,,,,,
,,리본 주자 4cm 연핑크 ,소모품 및 부자재,리본/텍,,,5500,,,,,
,,리본 주자 4cm 하늘,소모품 및 부자재,리본/텍,,,5500,,,,,
,,리본 주자 4cm 블루,소모품 및 부자재,리본/텍,,,5500,,,,,
,,리본 주자 4cm 피치,소모품 및 부자재,리본/텍,,,5500,,,,,
,,리본 주자 4cm 레드,소모품 및 부자재,리본/텍,,,5500,,,,,
,,리본 주자 4cm 그린,소모품 및 부자재,리본/텍,,,5500,,,,,
,,리본 글씨(프린트) 리본 3.8cm 크림,소모품 및 부자재,리본/텍,,,,,,,,
,,리본 글씨(프린트) 리본 3.8cm 핑크,소모품 및 부자재,리본/텍,,,4950,,9,,,
,,리본 글씨(프린트) 리본 4.5cm 크림,소모품 및 부자재,리본/텍,,,5500,기타,10,헌인자재,,
,,리본 글씨(프린트) 리본 4.5cm 핑크,소모품 및 부자재,리본/텍,,,,,,,,
,,리본 글씨(프린트) 리본 6.5cm 크림,소모품 및 부자재,리본/텍,,,,,,,,
,,리본 글씨(프린트) 리본 6.5cm 핑크,소모품 및 부자재,리본/텍,,,,,,,,
,,포리주자 4.0,소모품 및 부자재,리본/텍,,,5500,,3,,,
,,핸드워시리필,소모품 및 부자재,기타,,,2000,,1,,,
,,개나리자스민,식물,관엽소형,,,3500,기타,2,강남농원,,
,,거북알로카시아,식물,관엽소형,,,2500,기타,2,세자매농원,,
,,골풀 포트,식물,관엽소형,,,2500,,2,,,
,,괴마옥,식물,관엽소형,,,4000,기타,3,세종식물원,,
,,구상나무,식물,관엽소형,,,8000,,1,,,
,,금전수 포트 소,식물,관엽소형,,,3000,기타,12,세종식물원,,
,,보석금전수,식물,관엽소형,,,8000,,8,세종식물원,,
,,마오리소포라,식물,관엽소형,,,14000,,2,세종식물원,,
,,행운목 수경,식물,관엽소형,,,1200,,15,효성농원,,
,,나한송,식물,관엽소형,,,2000,,2,,,
,,다육 미니 포트,식물,관엽소형,,,600,,10,,,
,,디시디아,식물,관엽소형,,,5000,,2,,,
,,몬스테라 분화,식물,관엽소형,,,2000,,2,,,
,,몬스테라 히메 분화,식물,관엽소형,,,2500,,6,,,
,,무늬아이비 분화 포트 소,식물,관엽소형,,,3000,,2,,,
,,무늬크로톤 분화 포트 소,식물,관엽소형,,,2500,,2,,,
,,무늬홍콩 포트 소,식물,관엽소형,,,2000,기타,2,수림원,,
,,문샤인 포트,식물,관엽소형,,,4000,,4,,,
,,바로크벤자민 포트,식물,관엽소형,,,3500,,2,,,
,,백아이비,식물,관엽소형,,,2000,기타,2,진성농원,,
,,벤자민고무나무완제,식물,관엽소형,,,12000,기타,2,채아네가든,,
,,보석금전수포트 소,식물,관엽소형,,,8000,,2,,,
,,산초 포트 소,식물,관엽소형,,,2500,,3,,,
,,수채화고무나무 분화,식물,관엽소형,,,2500,,2,,,
,,스칸디아모스,식물,관엽소형,,,7000,,15,,,
,,스킨답서스 소 포트,식물,관엽소형,,,3500,기타,2,진성농원,,
,,스투키 소 분화,식물,관엽소형,,,3000,,7,,,
,,아라우카리아 포트 소,식물,관엽소형,,,4000,,2,,,
,,아이비 포트,식물,관엽소형,,,2200,,2,,,
,,안스리움 포트 소 레드,식물,관엽소형,,,5000,레드,3,수림원,,
,,안시리움 미니 레드,식물,관엽소형,,,4000,레드,2,,,
,,올리브나무포트 소,식물,관엽소형,,,2500,기타,3,세자매농원,,
,,은행목 포트,식물,관엽소형,,,6000,,2,,,
,,이오난사,식물,관엽소형,,,1000,,5,,,
,,죽백 분화 포트,식물,관엽소형,,,2500,,4,,,
,,준쿠스,식물,관엽소형,,,13000,,2,,,
,,지리홍 분화,식물,관엽소형,,,3500,,4,,,
,,천냥금 포트,식물,관엽소형,,,2000,,2,,,
,,청아이비 포트,식물,관엽소형,,,2000,,2,,,
,,춘봉,식물,관엽소형,,,7000,기타,2,수립원,,
,,측백,식물,관엽소형,,,7000,,2,,,
,,카네이션포트 레드,식물,관엽소형,,,4500,레드,20,,,
,,커피나무 포트,식물,관엽소형,,,2000,,4,,,
,,크로톤 포트,식물,관엽소형,,,2500,기타,2,세자매농원-과천,,
,,크로톤 포트 소,식물,관엽소형,,,2500,,2,,,
,,크루시아,식물,관엽소형,,,2000,,8,,,
,,테이블데코쌍장,식물,관엽소형,,,990,,5,,,
,,테이블야자,식물,관엽소형,,,1500,기타,4,진성농원,,
,,팻츠헤데라 포트 소  담쟁이과,식물,관엽소형,,,4000,,2,,,
,,페페 분화,식물,관엽소형,,,2000,,2,,,
,,피토니아-레드스타 포트,식물,관엽소형,,,2000,레드,2,진성농원,,
,,피토니아-화이트 스타 포트,식물,관엽소형,,,2000,레드,2,진성농원,,
,,하트호야,식물,관엽소형,,,3000,,3,,,
,,호야 포트 소,식물,관엽소형,,,2000,,4,,,
,,홍콩야자나무 포트 칼라홍콩,식물,관엽소형,,,2000,,2,,,
,,휘토니아,식물,관엽소형,,,2500,,4,,,
,,휘토니아그린(포트),식물,관엽소형,,,2300,그린,2,,,
,,휘토니아레드(포트),식물,관엽소형,,,2300,레드,2,,,
,,히메 몬스테라,식물,관엽소형,,,3000,기타,2,강남농원,,
,,카네이션포트 핑크,식물,관엽소형,,,5000,핑크,20,,,
,,녹보수 포트 대,식물,관엽중형,,,28000,,1,,,
,,도쿠리난(완),식물,관엽중형,,,15000,기타,1,송광농원,,
,,루비고무나무 완제-시멘트분,식물,관엽중형,,,28000,기타,2,채아네가든,,
,,만냥금,식물,관엽중형,,,25000,기타,1,채아네,,
,,몬스테라(완),식물,관엽중형,,,25000,Green,21,플라워팜,,
,,바로크벤자민 포트,식물,관엽중형,,,15000,기타,1,송광농원,,
,,뱅갈-유로스톤 중 완제,식물,관엽중형,,,25000,,2,,,
,,뱅갈고무나무 중 완제,식물,관엽중형,,,20000,기타,1,낙타농원,,
,,벤자민고무나무완제 중,식물,관엽중형,,,25000,,1,,,
,,보석금전수포트 중,식물,관엽중형,,,15000,,4,,,
,,셀렘 포트 중,식물,관엽중형,,,13000,,1,,,
,,스노우 사파이어 포트 중,식물,관엽중형,,,7000,,2,,,
,,스노우사파이어 포트,식물,관엽중형,,,7000,흰색,4,세종식물원,,
,,스투키 중품 완제,식물,관엽중형,,,30000,,1,,,
,,아악무,식물,관엽중형,,,8000,,2,,,
,,안스리움 포트,식물,관엽중형,,,9000,기타,4,진성농원,,
,,인삼팬더 고무나무 중,식물,관엽중형,,,25000,기타,3,채아네,,
,,칼라벤자민 포트,식물,관엽중형,,,6000,,2,,,
,,콤팩타 분화(완),식물,관엽중형,,,25000,,1,,,
,,콩고 포트,식물,관엽중형,,,6000,기타,2,세종식물원,,
,,타마린드 포트,식물,관엽중형,,,17000,,1,,,
,,파키라 분화,식물,관엽중형,,,12000,,7,,,
,,팬다 완제,식물,관엽중형,,,35000,,2,,,
,,펜더고무나무(완),식물,관엽중형,,,25000,,2,,,
,,프랑스고무나무 포트,식물,관엽중형,,,12000,,2,,,
,,행운목 포트,식물,관엽중형,,,18000,,1,,,
,,홍콩야자 포트 중,식물,관엽중형,,,13000,,1,,,
,,뱅갈원형 완제,식물,관엽중형,,,35000,,3,채아네가든,,
,,안스리움 포트 중 로얄핑크,식물,관엽중형,,,9000,핑크,4,수림원,,
,,포인세티아,식물,관엽중형,,,2500,,5,,,
,,포인세티아 레드 포트,식물,관엽중형,,,2700,레드,5,진성농원,,
,,프랑스고무나무 포트,식물,관엽중형,,,12000,,2,,,
,,화시아타(완),식물,관엽중형,,,30000,,4,,,
,,화시아타포트,식물,관엽중형,,,12000,기타,1,강남농원,,
,,휘커스움베르타 분화,식물,관엽중형,,,7000,,5,,,
,,휘커스움베르타-유로스톤,식물,관엽중형,,,25000,기타,2,채아네가든,,
,,금전수 대품,식물,관엽대형,,,100000,,1,,,
,,금전수(완),식물,관엽대형,,,1,,1,,,
,,녹보수 대 (완),식물,관엽대형,,,82000,,1,,,
,,드라코 대품 포트,식물,관엽대형,,,65000,,1,,,
,,떡갈고무나무(완),식물,관엽대형,,,58000,,2,채아네가든,,
,,마지나타,식물,관엽대형,,,25000,기타,1,낙타농원,,
,,마지나타 레인보우 포트 대,식물,관엽대형,,,30000,,1,,,
,,뱅갈 고무나무 대품 완제,식물,관엽대형,,,60000,기타,1,채아네가든,,
,,스투키 대 분화,식물,관엽대형,,,12000,,4,,,
,,스투키 대품 완제,식물,관엽대형,,,67000,,1,,,
,,여인초 완제 대,식물,관엽대형,,,75000,,2,채아네가든,,
,,만천홍 분화,식물,서양란,,,55000,,30,,,
,,백조호접포트,식물,서양란,,,11000,,1,,,
,,서양난 라디아타,식물,서양란,,,18000,기타,1,억불농원,,
,,서양난 르네,식물,서양란,,,9000,,6,,,
,,서양난 보자기난,식물,서양란,,,25000,,2,,,
,,서양난 블루베리,식물,서양란,,,9000,블루,1,,,
,,서양난 블루사파이어,식물,서양란,,,12000,블루,2,한성난원,,
,,서양난 선셋,식물,서양란,,,10000,,1,,,
,,서양난 엘레강스,식물,서양란,,,13000,기타,2,한성난원,,
,,서양난 오렌지,식물,서양란,,,9000,오렌지,3,,,
,,서양난 줄링,식물,서양란,,,22000,,1,,,
,,서양난 피치오렌지,식물,서양란,,,9000,핑크,3,,,
,,서양란 에일리,식물,서양란,,,12000,기타,1,한성난원,,
,,호접난 포트,식물,서양란,,,7500,,1,,,
,,동양난 투각분 완제,식물,동양란,,,33000,,2,,,
,,동양난포트,식물,동양란,,,25000,,2,,,
,,황룡투각,식물,동양란,,,20000,,2,,,
,,선인장 축전 분화,식물,선인장,,,2000,,3,,,
,,선인장 밍크선인장 완제,식물,선인장,,,45000,그린,7,채아네가든,,
,,수국 프리저브드 3 라이트레드,프리저브드,폼플라워,,,7700,레드,19,헌인자재,,
,,프리저브드 수국 4  핫핑크,프리저브드,폼플라워,,,7700,핑크,,,,
,,프리저브드 수국 6  진핑크,프리저브드,폼플라워,,,7700,핑크,,,,
,,프리저브드 수국 8 연블루,프리저브드,폼플라워,,,7700,블루,,,,
,,프리저브드 수국 11 진블루,프리저브드,폼플라워,,,7700,블루,,,,
,,프리저브드 수국 13 연보라,프리저브드,폼플라워,,,7700,보라,,,,
,,프리저브드 수국 21 라이트오렌지,프리저브드,폼플라워,,,7700,주황,,,,
